Sector,Name,Price,52 Week High,52 Week Low
Health Care,Quest Diagnostics,96.42,112.965,90.1
Energy,Range Resources Corp.,12.82,34.09,12.7
Financials,Raymond James Financial Inc.,86.06,99.1,71.35
Industrials,Raytheon Co.,198.74,213.45,147.86
Real Estate,Realty Income Corporation,47.56,63.6,48.89
Information Technology,Red Hat Inc.,124.65,135.77,78.48
Real Estate,Regency Centers Corporation,55.58,72.05,56.66
Health Care,Regeneron,322.62,543.5518,319.5
Financials,Regions Financial Corp.,17.9,19.9,13.0
Industrials,Republic Services Inc,62.72,69.4,57.53
Health Care,ResMed,89.26,104.78,67.04
Industrials,Robert Half International,52.26,60.59,42.92
Industrials,Rockwell Automation Inc.,178.73,210.72,147.67
Industrials,Rockwell Collins,133.31,139.63,89.9
Industrials,Roper Technologies,259.4,290.415,191.22
Consumer Discretionary,Ross Stores,75.06,85.66,52.85
Consumer Discretionary,Royal Caribbean Cruises Ltd,122.45,135.65,93.4
Financials,"S&P Global, Inc.",173.31,185.38,124.64
Information Technology,Salesforce.com,104.03,114.52,79.63
Real Estate,SBA Communications,159.85,177.67,103.51
Utilities,SCANA Corp,35.6,71.28,35.31
Energy,Schlumberger Ltd.,67.4,82.71,61.02
Consumer Discretionary,Scripps Networks Interactive Inc.,86.46,88.87,64.87
Information Technology,Seagate Technology,47.44,56.45,30.6
Materials,Sealed Air,42.62,50.62,41.22
Utilities,Sempra Energy,103.36,122.975,100.63
Materials,Sherwin-Williams,387.65,435.15,302.0101
Consumer Discretionary,Signet Jewelers,49.38,77.94,46.09
Real Estate,Simon Property Group Inc,152.18,187.35,150.15
Information Technology,Skyworks Solutions,99.04,117.65,90.53
Real Estate,SL Green Realty,90.61,115.34,91.2
Consumer Discretionary,Snap-On Inc.,156.72,185.47,140.83
Utilities,Southern Co.,43.4,53.51,42.63
Industrials,Southwest Airlines,55.63,66.985,49.76
Consumer Discretionary,Stanley Black & Decker,152.86,176.62,121.09
Consumer Discretionary,Starbucks Corp.,53.77,64.87,52.58
